:START_ID(Location),:END_ID(Location),:TYPE
loc-abbotsford-wi,loc-colby-wi,NEAR
loc-abbotsford-wi,loc-marshfield-wi,NEAR
loc-colby-wi,loc-abbotsford-wi,NEAR
loc-colby-wi,loc-marshfield-wi,NEAR
loc-edgar-wi,loc-marshfield-wi,NEAR
loc-edgar-wi,loc-mosinee-wi,NEAR
loc-edgar-wi,loc-wausau-wi,NEAR
loc-kronenwetter-wi,loc-wausau-wi,NEAR
loc-kronenwetter-wi,loc-mosinee-wi,NEAR
loc-kronenwetter-wi,loc-weston-wi,NEAR
loc-marshfield-wi,loc-wisconsin-rapids-wi,NEAR
loc-marshfield-wi,loc-spencer-wi,NEAR
loc-marshfield-wi,loc-colby-wi,NEAR
loc-marshfield-wi,loc-abbotsford-wi,NEAR
loc-mosinee-wi,loc-wausau-wi,NEAR
loc-mosinee-wi,loc-kronenwetter-wi,NEAR
loc-mosinee-wi,loc-weston-wi,NEAR
loc-neillsville-wi,loc-marshfield-wi,NEAR
loc-neillsville-wi,loc-black-river-falls-wi,NEAR
loc-plover-wi,loc-stevens-point-wi,NEAR
loc-plover-wi,loc-wisconsin-rapids-wi,NEAR
loc-spencer-wi,loc-marshfield-wi,NEAR
loc-spencer-wi,loc-stratford-wi,NEAR
loc-stevens-point-wi,loc-plover-wi,NEAR
loc-stevens-point-wi,loc-wisconsin-rapids-wi,NEAR
loc-stevens-point-wi,loc-wausau-wi,NEAR
loc-stratford-wi,loc-marshfield-wi,NEAR
loc-stratford-wi,loc-spencer-wi,NEAR
loc-wausau-wi,loc-weston-wi,NEAR
loc-wausau-wi,loc-mosinee-wi,NEAR
loc-wausau-wi,loc-kronenwetter-wi,NEAR
loc-wausau-wi,loc-stevens-point-wi,NEAR
loc-weston-wi,loc-wausau-wi,NEAR
loc-weston-wi,loc-kronenwetter-wi,NEAR
loc-weston-wi,loc-mosinee-wi,NEAR
loc-wisconsin-rapids-wi,loc-marshfield-wi,NEAR
loc-wisconsin-rapids-wi,loc-stevens-point-wi,NEAR
loc-wisconsin-rapids-wi,loc-plover-wi,NEAR
loc-madison-wi,loc-middleton-wi,NEAR
loc-madison-wi,loc-monona-wi,NEAR
loc-madison-wi,loc-fitchburg-wi,NEAR
loc-madison-wi,loc-sun-prairie-wi,NEAR
loc-madison-wi,loc-verona-wi,NEAR
loc-middleton-wi,loc-madison-wi,NEAR
loc-middleton-wi,loc-cross-plains-wi,NEAR
loc-middleton-wi,loc-waunakee-wi,NEAR
loc-sun-prairie-wi,loc-madison-wi,NEAR
loc-sun-prairie-wi,loc-cottage-grove-wi,NEAR
loc-sun-prairie-wi,loc-deforest-wi,NEAR
loc-fitchburg-wi,loc-madison-wi,NEAR
loc-fitchburg-wi,loc-verona-wi,NEAR
loc-fitchburg-wi,loc-oregon-wi,NEAR
loc-verona-wi,loc-madison-wi,NEAR
loc-verona-wi,loc-fitchburg-wi,NEAR
loc-verona-wi,loc-mount-horeb-wi,NEAR
loc-monona-wi,loc-madison-wi,NEAR
loc-monona-wi,loc-cottage-grove-wi,NEAR
loc-monona-wi,loc-mcfarland-wi,NEAR
loc-waunakee-wi,loc-madison-wi,NEAR
loc-waunakee-wi,loc-middleton-wi,NEAR
loc-waunakee-wi,loc-deforest-wi,NEAR
loc-oregon-wi,loc-madison-wi,NEAR
loc-oregon-wi,loc-fitchburg-wi,NEAR
loc-oregon-wi,loc-stoughton-wi,NEAR
loc-deforest-wi,loc-madison-wi,NEAR
loc-deforest-wi,loc-sun-prairie-wi,NEAR
loc-deforest-wi,loc-waunakee-wi,NEAR
loc-mcfarland-wi,loc-madison-wi,NEAR
loc-mcfarland-wi,loc-monona-wi,NEAR
loc-mcfarland-wi,loc-stoughton-wi,NEAR
loc-stoughton-wi,loc-madison-wi,NEAR
loc-stoughton-wi,loc-oregon-wi,NEAR
loc-stoughton-wi,loc-mcfarland-wi,NEAR
loc-stoughton-wi,loc-edgerton-wi,NEAR
loc-cottage-grove-wi,loc-madison-wi,NEAR
loc-cottage-grove-wi,loc-sun-prairie-wi,NEAR
loc-cottage-grove-wi,loc-monona-wi,NEAR
loc-windsor-wi,loc-deforest-wi,NEAR
loc-windsor-wi,loc-sun-prairie-wi,NEAR
loc-windsor-wi,loc-waunakee-wi,NEAR
loc-mount-horeb-wi,loc-verona-wi,NEAR
loc-mount-horeb-wi,loc-cross-plains-wi,NEAR
loc-mount-horeb-wi,loc-dodgeville-wi,NEAR
loc-belleville-wi,loc-new-glarus-wi,NEAR
loc-belleville-wi,loc-verona-wi,NEAR
loc-belleville-wi,loc-brooklyn-wi,NEAR
loc-new-glarus-wi,loc-monroe-wi,NEAR
loc-new-glarus-wi,loc-belleville-wi,NEAR
loc-new-glarus-wi,loc-monticello-wi,NEAR
loc-marshall-wi,loc-sun-prairie-wi,NEAR
loc-marshall-wi,loc-waterloo-wi,NEAR
loc-marshall-wi,loc-columbus-wi,NEAR
loc-deerfield-wi,loc-cottage-grove-wi,NEAR
loc-deerfield-wi,loc-marshall-wi,NEAR
loc-deerfield-wi,loc-cambridge-wi,NEAR
loc-janesville-wi,loc-beloit-wi,NEAR
loc-janesville-wi,loc-milton-wi,NEAR
loc-janesville-wi,loc-edgerton-wi,NEAR
loc-beloit-wi,loc-janesville-wi,NEAR
loc-beloit-wi,loc-clinton-wi,NEAR
loc-watertown-wi,loc-jefferson-wi,NEAR
loc-watertown-wi,loc-lake-mills-wi,NEAR
loc-watertown-wi,loc-fort-atkinson-wi,NEAR
loc-beaver-dam-wi,loc-watertown-wi,NEAR
loc-beaver-dam-wi,loc-columbus-wi,NEAR
loc-beaver-dam-wi,loc-waupun-wi,NEAR
loc-whitewater-wi,loc-fort-atkinson-wi,NEAR
loc-whitewater-wi,loc-milton-wi,NEAR
loc-whitewater-wi,loc-elkhorn-wi,NEAR
loc-fort-atkinson-wi,loc-jefferson-wi,NEAR
loc-fort-atkinson-wi,loc-whitewater-wi,NEAR
loc-fort-atkinson-wi,loc-watertown-wi,NEAR
loc-monroe-wi,loc-new-glarus-wi,NEAR
loc-monroe-wi,loc-brodhead-wi,NEAR
loc-edgerton-wi,loc-stoughton-wi,NEAR
loc-edgerton-wi,loc-janesville-wi,NEAR
loc-edgerton-wi,loc-milton-wi,NEAR
loc-lake-mills-wi,loc-watertown-wi,NEAR
loc-lake-mills-wi,loc-jefferson-wi,NEAR
loc-lake-mills-wi,loc-cambridge-wi,NEAR
loc-milton-wi,loc-janesville-wi,NEAR
loc-milton-wi,loc-edgerton-wi,NEAR
loc-milton-wi,loc-whitewater-wi,NEAR
loc-evansville-wi,loc-janesville-wi,NEAR
loc-evansville-wi,loc-stoughton-wi,NEAR
loc-evansville-wi,loc-oregon-wi,NEAR
loc-brodhead-wi,loc-monroe-wi,NEAR
loc-brodhead-wi,loc-janesville-wi,NEAR
loc-clinton-wi,loc-beloit-wi,NEAR
loc-clinton-wi,loc-janesville-wi,NEAR
loc-baraboo-wi,loc-wisconsin-dells-wi,NEAR
loc-baraboo-wi,loc-reedsburg-wi,NEAR
loc-baraboo-wi,loc-portage-wi,NEAR
loc-wisconsin-dells-wi,loc-baraboo-wi,NEAR
loc-wisconsin-dells-wi,loc-lake-delton-wi,NEAR
loc-wisconsin-dells-wi,loc-portage-wi,NEAR
loc-lake-delton-wi,loc-wisconsin-dells-wi,NEAR
loc-lake-delton-wi,loc-baraboo-wi,NEAR
loc-portage-wi,loc-baraboo-wi,NEAR
loc-portage-wi,loc-wisconsin-dells-wi,NEAR
loc-portage-wi,loc-columbus-wi,NEAR
loc-reedsburg-wi,loc-baraboo-wi,NEAR
loc-reedsburg-wi,loc-wisconsin-dells-wi,NEAR
loc-reedsburg-wi,loc-spring-green-wi,NEAR
loc-columbus-wi,loc-beaver-dam-wi,NEAR
