:START_ID(Service),:END_ID(Keyword),:TYPE
srv-new-asphalt-paving-residential,kw-asphalt-paving,HAS_KEYWORD
srv-new-asphalt-paving-residential,kw-asphalt-driveway,HAS_KEYWORD
srv-new-asphalt-paving-residential,kw-driveway-paving,HAS_KEYWORD
srv-new-asphalt-paving-residential,kw-new-paving,HAS_KEYWORD
srv-new-asphalt-paving-residential,kw-residential-paving,HAS_KEYWORD
srv-new-asphalt-paving-commercial,kw-asphalt-paving,HAS_KEYWORD
srv-new-asphalt-paving-commercial,kw-parking-lot-paving,HAS_KEYWORD
srv-new-asphalt-paving-commercial,kw-commercial-paving,HAS_KEYWORD
srv-new-asphalt-paving-commercial,kw-new-paving,HAS_KEYWORD
srv-new-asphalt-paving-municipal,kw-asphalt-paving,HAS_KEYWORD
srv-new-asphalt-paving-municipal,kw-paving-contractor,HAS_KEYWORD
srv-new-asphalt-paving-municipal,kw-commercial-paving,HAS_KEYWORD
srv-subdivision-paving,kw-asphalt-paving,HAS_KEYWORD
srv-subdivision-paving,kw-new-paving,HAS_KEYWORD
srv-subdivision-paving,kw-residential-paving,HAS_KEYWORD
srv-horse-farm-paving,kw-asphalt-paving,HAS_KEYWORD
srv-horse-farm-paving,kw-commercial-paving,HAS_KEYWORD
srv-horse-farm-paving,kw-residential-paving,HAS_KEYWORD
srv-asphalt-patching-full-depth,kw-asphalt-repair,HAS_KEYWORD
srv-asphalt-patching-full-depth,kw-patching,HAS_KEYWORD
srv-asphalt-patching-full-depth,kw-pothole-repair,HAS_KEYWORD
srv-pothole-repair,kw-pothole-repair,HAS_KEYWORD
srv-pothole-repair,kw-asphalt-repair,HAS_KEYWORD
srv-pothole-repair,kw-patching,HAS_KEYWORD
srv-pothole-repair,kw-potholes,HAS_KEYWORD
srv-surface-patching,kw-asphalt-repair,HAS_KEYWORD
srv-surface-patching,kw-patching,HAS_KEYWORD
srv-asphalt-resurfacing,kw-asphalt-resurfacing,HAS_KEYWORD
srv-asphalt-resurfacing,kw-asphalt-repair,HAS_KEYWORD
srv-asphalt-resurfacing,kw-asphalt-paving,HAS_KEYWORD
srv-mill-and-overlay,kw-mill-overlay,HAS_KEYWORD
srv-mill-and-overlay,kw-asphalt-resurfacing,HAS_KEYWORD
srv-mill-and-overlay,kw-asphalt-repair,HAS_KEYWORD
srv-full-depth-reclamation,kw-asphalt-repair,HAS_KEYWORD
srv-full-depth-reclamation,kw-asphalt-resurfacing,HAS_KEYWORD
srv-full-depth-reclamation,kw-recycled-asphalt,HAS_KEYWORD
srv-crack-sealing,kw-crack-filling,HAS_KEYWORD
srv-crack-sealing,kw-asphalt-repair,HAS_KEYWORD
srv-crack-sealing,kw-preventative-maintenance,HAS_KEYWORD
srv-crack-filling,kw-crack-filling,HAS_KEYWORD
srv-crack-filling,kw-asphalt-repair,HAS_KEYWORD
srv-crack-routing,kw-crack-filling,HAS_KEYWORD
srv-crack-routing,kw-asphalt-repair,HAS_KEYWORD
srv-sealcoating-residential,kw-sealcoating,HAS_KEYWORD
srv-sealcoating-residential,kw-asphalt-driveway,HAS_KEYWORD
srv-sealcoating-residential,kw-preventative-maintenance,HAS_KEYWORD
srv-sealcoating-commercial,kw-sealcoating,HAS_KEYWORD
srv-sealcoating-commercial,kw-parking-lot-paving,HAS_KEYWORD
srv-sealcoating-commercial,kw-commercial-paving,HAS_KEYWORD
srv-sealcoating-commercial,kw-preventative-maintenance,HAS_KEYWORD
